"Common Name","Scientific Name","Scientific Name_url","Entity Description","ESA Listing Date","Delisting Date","Delisting Reason","Foreign or Domestic","Lead Agency"
"Santa Rosa Island Fox","Urocyon littoralis santarosae","https://ecos.fws.gov/ecp/species/6370","wherever found","03-05-2004","09-12-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"San Miguel Island Fox","Urocyon littoralis littoralis","https://ecos.fws.gov/ecp/species/7395","wherever found","03-05-2004","09-12-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Santa Cruz Island Fox","Urocyon littoralis santacruzae","https://ecos.fws.gov/ecp/species/2656","wherever found","03-05-2004","09-12-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Braken Bat Cave meshweaver","Cicurina venii","https://ecos.fws.gov/ecp/species/7900","Wherever found","12-26-2000","09-23-2022","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
"Colorado Butterfly plant","Gaura neomexicana var. coloradensis","https://ecos.fws.gov/ecp/species/6110","Wherever found","10-18-2000","12-05-2019","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Deseret milkvetch","Astragalus desereticus","https://ecos.fws.gov/ecp/species/4862","Wherever found","10-20-1999","11-19-2018","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Lake Erie water snake","Nerodia sipedon insularum","https://ecos.fws.gov/ecp/species/8515","Lake Erie offshore islands and their adjacent waters (located more than 1 mile from mainland)_U.S.A. (OH), Canada (Ont.)","08-30-1999","09-15-2011","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Hidden Lake bluecurls","Trichostema austromontanum ssp. compactum","https://ecos.fws.gov/ecp/species/1285","Wherever found","10-14-1998","07-02-2018","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Johnson's seagrass","Halophila johnsonii","https://ecos.fws.gov/ecp/species/4227","Wherever found","09-14-1998","11-15-2022","The listed entity does not meet the statutory definition of a species","Domestic","NMFS"
"Island bedstraw","Galium buxifolium","https://ecos.fws.gov/ecp/species/6337","Wherever found","07-31-1997","12-07-2023","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Santa Cruz Island dudleya","Dudleya nesiotica","https://ecos.fws.gov/ecp/species/6828","Wherever found","07-31-1997","12-07-2023","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"golden paintbrush","Castilleja levisecta","https://ecos.fws.gov/ecp/species/7706","Wherever found","06-11-1997","08-18-2023","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Eggert's sunflower","Helianthus eggertii","https://ecos.fws.gov/ecp/species/2866","Wherever found","05-22-1997","08-18-2005","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Coastal cutthroat Trout","Oncorhynchus clarkii clarkii","https://ecos.fws.gov/ecp/species/6205","Umpqua R. (U.S.A._OR) naturally spawning populations in mainstem and tributaries","09-13-1996","04-26-2000","Species does not meet the definition of an endangered species or a threatened species - new information discovered","Domestic","FWS"
"Water howellia","Howellia aquatilis","https://ecos.fws.gov/ecp/species/7090","","07-14-1994","07-16-2021","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Gray whale","Eschrichtius robustus","https://ecos.fws.gov/ecp/species/1477","Eastern North Pacific Ocean--coastal and Bering, Beaufort, and Chukchi Seas","06-16-1994","06-16-1994","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","NMFS"
"Oregon chub","Oregonichthys crameri","https://ecos.fws.gov/ecp/species/5635","Wherever found","10-18-1993","03-23-2015","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Southern acornshell","Epioblasma othcaloogensis","https://ecos.fws.gov/ecp/species/8469","Wherever found","03-17-1993","11-16-2023","Species is extinct","Domestic","FWS"
"Upland combshell","Epioblasma metastriata","https://ecos.fws.gov/ecp/species/317","Wherever found","03-17-1993","11-16-2023","Species is extinct","Domestic","FWS"
"Idaho springsnail","Pyrgulopsis idahoensis","https://ecos.fws.gov/ecp/species/4829","Wherever found","12-14-1992","09-05-2007","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
"Utah valvata snail","Valvata utahensis","https://ecos.fws.gov/ecp/species/7668","Wherever found","12-14-1992","09-24-2010","Species does not meet the definition of an endangered species or a threatened species - new information discovered","Domestic","FWS"
"Louisiana black bear","Ursus americanus luteolus","https://ecos.fws.gov/ecp/species/8552","Wherever found","01-07-1992","03-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"No common name","Lepanthes eltoroensis","https://ecos.fws.gov/ecp/species/994","Wherever found","11-29-1991","07-16-2021","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"No common name","Gahnia lanaiensis","https://ecos.fws.gov/ecp/species/7771","Wherever found","09-20-1991","05-28-2013","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
"Kanab ambersnail","Oxyloma haydeni kanabensis","https://ecos.fws.gov/ecp/species/6642","Wherever found","08-08-1991","07-26-2021","The listed entity does not meet the statutory definition of a species","Domestic","FWS"
"Hoover's woolly-star","Eriastrum hooveri","https://ecos.fws.gov/ecp/species/108","","07-19-1990","10-07-2003","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Steller sea lion","Eumetopias jubatus","https://ecos.fws.gov/ecp/species/5147","Eastern DPS - Entire, except the population segment west of 1440 W. Long","04-05-1990","12-04-2013","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","NMFS"
"Magazine Mountain shagreen","Inflectarius magazinensis","https://ecos.fws.gov/ecp/species/4402","Wherever found","04-17-1989","06-14-2013","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Lesser long-nosed bat","Leptonycteris curasoae yerbabuenae","https://ecos.fws.gov/ecp/species/3245","Wherever found","09-30-1988","05-18-2018","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
"Bradshaw''s lomatium","Lomatium bradshawii","https://ecos.fws.gov/ecp/species/5743","Wherever found","09-30-1988","04-07-2021","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Cumberland sandwort","Arenaria cumberlandensis","https://ecos.fws.gov/ecp/species/2514","Wherever found","06-23-1988","09-15-2021","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"White-haired goldenrod","Solidago albopilosa","https://ecos.fws.gov/ecp/species/5300","Wherever found","04-07-1988","10-11-2016","Species does not meet the definition of an endangered species or a threatened species - Recovered","Domestic","FWS"
"Black-capped Vireo","Vireo atricapilla","https://ecos.fws.gov/ecp/species/5716","Wherever found","10-06-1987","05-16-2018","Species does not meet the definition of an endangered species or a threatened species - Recovered","Both Domestic and Foreign","FWS"
